report_code,report_title,zone_name,fight_id,fight_name,difficulty,kill,fight_percentage,boss_percentage,last_phase,duration_seconds,start_time_utc,end_time_utc,start_time_epoch_ms
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,10,Dancing Mad,100,False,95.29,52.93,1,111.1,2026-06-07T18:08:15.141000+00:00,2026-06-07T18:10:06.243000+00:00,1780855695141
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,11,Dancing Mad,100,False,95.56,55.64,1,105.1,2026-06-07T18:10:53.152000+00:00,2026-06-07T18:12:38.204000+00:00,1780855853152
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,12,Dancing Mad,100,False,97.68,76.88,1,54.4,2026-06-07T18:13:02.378000+00:00,2026-06-07T18:13:56.784000+00:00,1780855982378
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,13,Dancing Mad,100,False,95.39,53.99,1,110.9,2026-06-07T18:14:13.943000+00:00,2026-06-07T18:16:04.892000+00:00,1780856053943
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,14,Dancing Mad,100,False,97.09,70.96,1,131.7,2026-06-07T18:16:32.682000+00:00,2026-06-07T18:18:44.348000+00:00,1780856192682
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,15,Dancing Mad,100,False,82.74,63.72,2,307.3,2026-06-07T18:19:10.316000+00:00,2026-06-07T18:24:17.641000+00:00,1780856350316
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,16,Dancing Mad,100,False,91.7,17.05,1,205.6,2026-06-07T18:24:45.943000+00:00,2026-06-07T18:28:11.549000+00:00,1780856685943
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,17,Dancing Mad,100,False,95.64,56.43,1,107.1,2026-06-07T18:28:32.352000+00:00,2026-06-07T18:30:19.453000+00:00,1780856912352
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,18,Dancing Mad,100,False,97.61,76.18,1,51.2,2026-06-07T18:30:37.322000+00:00,2026-06-07T18:31:28.476000+00:00,1780857037322
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,19,Dancing Mad,100,False,92.64,26.43,1,198.8,2026-06-07T18:31:47.295000+00:00,2026-06-07T18:35:06.072000+00:00,1780857107295
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,20,Dancing Mad,100,False,91.76,17.68,1,200.9,2026-06-07T18:36:01.134000+00:00,2026-06-07T18:39:22.036000+00:00,1780857361134
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,21,Dancing Mad,100,False,92.21,22.18,1,196.9,2026-06-07T18:39:40.483000+00:00,2026-06-07T18:42:57.371000+00:00,1780857580483
